epoch,dice_coefficient,loss,lr,val_dice_coefficient,val_loss
0,0.05014839395880699,0.9498541355133057,0.004,0.027803566306829453,0.9721983075141907
1,0.1000605970621109,0.8999441862106323,0.004,0.07568462938070297,0.9243200421333313
2,0.18521779775619507,0.8147900700569153,0.004,0.38093939423561096,0.6190805435180664
3,0.29241684079170227,0.7075949311256409,0.004,0.7127657532691956,0.28725185990333557
4,0.38494548201560974,0.6150690317153931,0.004,0.8024524450302124,0.19756051898002625
